epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2776,1.55556,1.03148,1.20744,0.86316,0.67963,0.81842,0.49452,1.36878,0.92527,1.21694,0.0668166,9.98496e-05,9.98496e-05
2,179.856,1.41704,0.87699,1.11843,0.92023,0.78766,0.89848,0.59173,1.19051,0.75507,1.09865,0.0335758,0.000192319,0.000192319
3,268.542,1.3258,0.80817,1.07882,0.93982,0.80694,0.91484,0.63118,1.1103,0.71402,1.06634,0.000306502,0.000256377,0.000256377
4,353.401,1.27198,0.76501,1.05244,0.95088,0.8187,0.92626,0.64554,1.07403,0.68181,1.03896,0.000208328,0.000208328,0.000208328
5,437.868,1.23325,0.73209,1.03112,0.95583,0.83268,0.93308,0.66054,1.04931,0.65177,1.02513,0.0001515,0.0001515,0.0001515
6,520.423,1.20642,0.71366,1.02133,0.95935,0.84026,0.93605,0.67339,1.02291,0.64029,1.01527,9.46715e-05,9.46715e-05,9.46715e-05
7,604.06,1.18874,0.70166,1.01328,0.96216,0.84229,0.9381,0.67848,1.01239,0.63225,1.00843,4.64946e-05,4.64946e-05,4.64946e-05
8,690.161,1.18643,0.69958,1.01297,0.96312,0.84109,0.93819,0.68153,1.0042,0.62766,1.00486,1.43039e-05,1.43039e-05,1.43039e-05
