epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0706,1.45156,2.16546,1.37441,0.52816,0.32788,0.35408,0.20878,1.688,2.8029,1.56205,0.0670441,0.000332888,0.000332888
2,145.891,1.46442,2.00296,1.42913,0.6338,0.50104,0.58936,0.34118,1.38761,1.75372,1.42405,0.0340415,0.000663621,0.000663621
3,222.336,1.4973,2.01515,1.47407,0.6425,0.50726,0.59181,0.34214,1.41151,1.6939,1.39138,0.00102851,0.000984011,0.000984011
4,297.825,1.47777,2.00921,1.43765,0.63639,0.58753,0.64674,0.39377,1.29463,1.59342,1.3335,0.000965239,0.000965239,0.000965239
5,370.949,1.41042,1.86728,1.40152,0.71327,0.61393,0.70362,0.45312,1.22186,1.49134,1.31165,0.000938772,0.000938772,0.000938772
6,443.468,1.38501,1.82254,1.38917,0.72555,0.58155,0.69736,0.43465,1.21259,1.51215,1.29826,0.000905463,0.000905463,0.000905463
7,516.467,1.37485,1.79133,1.38087,0.69138,0.67549,0.7308,0.47454,1.15724,1.47274,1.25496,0.000865839,0.000865839,0.000865839
8,589.041,1.32229,1.7483,1.34403,0.69101,0.63194,0.69325,0.44801,1.12653,1.45648,1.24372,0.000820525,0.000820525,0.000820525
9,661.544,1.25779,1.69473,1.32137,0.76435,0.64304,0.74907,0.50419,1.11573,1.27967,1.23815,0.000770234,0.000770234,0.000770234
10,734.23,1.25488,1.61062,1.30816,0.769,0.68403,0.77733,0.53127,1.0497,1.31636,1.19145,0.000715761,0.000715761,0.000715761
11,806.687,1.21972,1.54016,1.28528,0.77424,0.70289,0.78766,0.54152,1.04167,1.37063,1.19878,0.000657963,0.000657963,0.000657963
12,879.252,1.20547,1.55268,1.28824,0.7785,0.69335,0.79648,0.55964,1.03316,1.22428,1.19646,0.000597754,0.000597754,0.000597754
13,951.916,1.17386,1.45526,1.26011,0.78045,0.73765,0.81793,0.58269,0.98263,1.1199,1.1536,0.000536081,0.000536081,0.000536081
14,1024.99,1.11702,1.41472,1.23796,0.78693,0.72075,0.81829,0.57989,0.97981,1.12106,1.14924,0.000473919,0.000473919,0.000473919
15,1097.48,1.0915,1.37501,1.21423,0.81683,0.71477,0.82459,0.60826,0.91851,1.05641,1.11822,0.000412246,0.000412246,0.000412246
16,1181.17,0.97881,1.26993,1.12306,0.80992,0.72588,0.82659,0.60349,0.94861,1.10676,1.12672,0.000352037,0.000352037,0.000352037
17,1253.47,0.94502,1.21194,1.09331,0.8279,0.72711,0.83447,0.61047,0.94784,1.05757,1.11645,0.000294239,0.000294239,0.000294239
18,1325.43,0.88503,1.09075,1.05727,0.8178,0.74363,0.8453,0.62917,0.88992,1.0104,1.09626,0.000239766,0.000239766,0.000239766
19,1380.1,0.89915,1.0527,1.07998,0.82856,0.73878,0.85318,0.63464,0.89999,1.01152,1.08828,0.000189475,0.000189475,0.000189475
20,1430.17,0.86899,1.04957,1.05069,0.81736,0.74893,0.85197,0.63874,0.88979,1.05207,1.08889,0.000144161,0.000144161,0.000144161
21,1480.34,0.83413,0.98585,1.02421,0.83655,0.76089,0.86387,0.6559,0.87122,0.96652,1.07373,0.000104537,0.000104537,0.000104537
22,1530.43,0.84185,1.00516,1.0347,0.81347,0.77465,0.86585,0.6689,0.84472,0.94702,1.05905,7.12282e-05,7.12282e-05,7.12282e-05
23,1580.91,0.81449,0.93585,1.02046,0.83081,0.77882,0.87004,0.6703,0.84409,0.94399,1.06257,4.47606e-05,4.47606e-05,4.47606e-05
24,1631.15,0.78966,0.92708,1.01229,0.83635,0.76601,0.87034,0.67267,0.83881,0.95223,1.06276,2.55513e-05,2.55513e-05,2.55513e-05
25,1681.33,0.80606,0.92693,1.00488,0.85119,0.7643,0.87302,0.67811,0.83116,0.93596,1.05781,1.39032e-05,1.39032e-05,1.39032e-05
